Time(s),HeartRate(1/min),Glucose-BloodConcentration(mg/dL),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),AchievedExerciseLevel
3841.02,69.303364,118.137795,16.483516,118.225963,76.900372,0,0
3842.02,69.287297,118.142833,16.483516,118.220850,76.902772,0,0
3843.02,69.278875,118.147760,16.483516,118.220325,76.905153,0,0
3844.02,69.294504,118.152839,16.483516,118.225165,76.902347,0,0
3845.02,69.290492,118.158289,16.483516,118.220861,76.900917,0,0
3846.02,69.279344,118.164178,16.483516,118.219604,76.903844,0,0
3847.02,69.291598,118.170031,16.483516,118.224030,76.901980,0,0
3848.02,69.306777,118.175537,16.483516,118.226426,76.897956,0,0
3849.02,69.293284,118.180674,16.483516,118.221275,76.899509,0,0
3850.02,69.279836,118.185599,16.483516,118.219258,76.902803,0,0
3851.02,69.288551,118.190598,16.483516,118.223089,76.901819,0,0
3852.02,69.307154,118.195897,16.483516,118.226766,76.897357,0,0
3853.02,69.280499,118.201668,16.483516,118.219060,76.901823,0,0
3854.02,69.285691,118.207588,16.483516,118.222218,76.901684,0,0
3855.02,69.306398,118.213218,16.483516,118.226861,76.897077,0,0
3856.02,69.297879,118.218479,16.483516,118.222447,76.897381,0,0
3857.02,69.281351,118.223442,16.393443,118.219068,76.901003,0,0
3858.02,69.283044,118.228393,16.393443,118.221525,76.901708,0,0
3859.02,69.304753,118.233574,16.393443,118.226905,76.897228,0,0
3860.02,69.284075,118.239197,16.393443,118.219774,76.900154,0,0
3861.02,69.282033,118.245145,16.393443,118.221489,76.901807,0,0
3862.02,69.302592,118.250911,16.393443,118.227292,76.898071,0,0
3863.02,69.303884,118.256315,16.393443,118.225749,76.896807,0,0
3864.02,69.286657,118.261373,16.393443,118.221624,76.900461,0,0
3865.02,69.280484,118.266325,16.393443,118.222671,76.903297,0,0
3866.02,69.298128,118.271439,16.393443,118.228630,76.900801,0,0
3867.02,69.287652,118.276931,16.393443,118.224838,76.902687,0,0
3868.02,69.277707,118.282868,16.393443,118.225127,76.906521,0,0
3869.02,69.291623,118.288775,16.393443,118.230831,76.905278,0,0
3870.02,69.303108,118.294344,16.393443,118.233112,76.902935,0,0
3871.02,69.287529,118.299548,16.393443,118.228809,76.906169,0,0
3872.02,69.274514,118.304546,16.393443,118.228160,76.910579,0,0
3873.02,69.284440,118.309622,16.393443,118.233206,76.910362,0,0
3874.02,69.300612,118.315001,16.393443,118.237044,76.907307,0,0
3875.02,69.271946,118.320855,16.393443,118.231005,76.914307,0,0
3876.02,69.277969,118.326857,16.393443,118.235135,76.914862,0,0
3877.02,69.297587,118.332572,16.393443,118.240095,76.911219,0,0
3878.02,69.287370,118.337916,16.393443,118.235998,76.912657,0,0
3879.02,69.270608,118.342963,16.393443,118.233328,76.917105,0,0
3880.02,69.272815,118.347996,16.393443,118.236473,76.918356,0,0
3881.02,69.293835,118.353257,16.393443,118.242091,76.914568,0,0
3882.02,69.270498,118.358957,16.393443,118.235362,76.919140,0,0
3883.02,69.268926,118.364976,16.393443,118.237525,76.921098,0,0
3884.02,69.289436,118.370809,16.393443,118.243422,76.917627,0,0
3885.02,69.288826,118.376276,16.393443,118.241486,76.916931,0,0
3886.02,69.271289,118.381389,16.393443,118.237448,76.920816,0,0
3887.02,69.266053,118.386393,16.393443,118.238641,76.923464,0,0
3888.02,69.284540,118.391550,16.393443,118.244479,76.920646,0,0
3889.02,69.272644,118.397079,16.393443,118.239748,76.922395,0,0
3890.02,69.263986,118.403044,16.393443,118.239970,76.925656,0,0
3891.02,69.279362,118.408973,16.393443,118.245458,76.923694,0,0
3892.02,69.289845,118.414556,16.393443,118.246887,76.921091,0,0
3893.02,69.274311,118.419770,16.393443,118.242249,76.923956,0,0
3894.02,69.262624,118.424771,16.393443,118.241504,76.927687,0,0
3895.02,69.274240,118.429845,16.393443,118.246398,76.926646,0,0
3896.02,69.289723,118.435218,16.393443,118.249478,76.923234,0,0
3897.02,69.262056,118.441059,16.393443,118.243066,76.929299,0,0
3898.02,69.269728,118.447045,16.393443,118.247159,76.929091,0,0
3899.02,69.289076,118.452739,16.393443,118.251567,76.925056,0,0
3900.02,69.278340,118.458061,16.393443,118.247094,76.926273,0,0
3901.02,69.262405,118.463082,16.393443,118.244448,76.930266,0,0
3902.02,69.266143,118.468086,16.393443,118.247657,76.930857,0,0
3903.02,69.287385,118.473318,16.393443,118.252938,76.926642,0,0
3904.02,69.263560,118.478986,16.393443,118.245796,76.930819,0,0
3905.02,69.263382,118.484972,16.393443,118.248099,76.932229,0,0
3906.02,69.284502,118.490771,16.393443,118.253831,76.928322,0,0
3907.02,69.282604,118.496205,16.393443,118.251371,76.927636,0,0
3908.02,69.265239,118.501285,16.393443,118.247381,76.931355,0,0
3909.02,69.261248,118.506254,16.393443,118.248764,76.933566,0,0
3910.02,69.280638,118.511378,16.393443,118.254575,76.930323,0,0
3911.02,69.267191,118.516874,16.393443,118.249324,76.932104,0,0
3912.02,69.259619,118.522807,16.393443,118.249765,76.935030,0,0
3913.02,69.276097,118.528704,16.393443,118.255329,76.932663,0,0
3914.02,69.285139,118.534258,16.393443,118.256216,76.930180,0,0
3915.02,69.269247,118.539443,16.393443,118.251581,76.933100,0,0
3916.02,69.258460,118.544416,16.483516,118.251074,76.936603,0,0
3917.02,69.271251,118.549464,16.483516,118.256122,76.935207,0,0
3918.02,69.284404,118.554812,16.483516,118.258465,76.932137,0,0
3919.02,69.256223,118.560628,16.483516,118.252204,76.938357,0,0
3920.02,69.265506,118.566588,16.483516,118.256473,76.937639,0,0
3921.02,69.282602,118.572258,16.483516,118.259923,76.933755,0,0
3922.02,69.270115,118.577553,16.483516,118.254959,76.935183,0,0
3923.02,69.255217,118.582545,16.483516,118.252415,76.938741,0,0
3924.02,69.261513,118.587518,16.483516,118.255683,76.938336,0,0
3925.02,69.281765,118.592716,16.483516,118.259875,76.933661,0,0
3926.02,69.256538,118.598346,16.483516,118.251528,76.937175,0,0
3927.02,69.259777,118.604290,16.483516,118.253875,76.937183,0,0
3928.02,69.281465,118.610045,16.483516,118.258617,76.932245,0,0
3929.02,69.275899,118.615432,16.483516,118.254450,76.931552,0,0
3930.02,69.259400,118.620460,16.483516,118.250330,76.934586,0,0
3931.02,69.259374,118.625373,16.483516,118.251911,76.935240,0,0
3932.02,69.280836,118.630440,16.483516,118.257049,76.930588,0,0
3933.02,69.262745,118.635875,16.483516,118.249554,76.932032,0,0
3934.02,69.259382,118.641744,16.483516,118.250436,76.933450,0,0
3935.02,69.279309,118.647578,16.483516,118.255747,76.929454,0,0
3936.02,69.282533,118.653068,16.483516,118.254233,76.927294,0,0
3937.02,69.265920,118.658186,16.483516,118.249455,76.930065,0,0
3938.02,69.259332,118.663090,16.483516,118.249620,76.932228,0,0
3939.02,69.276781,118.668071,16.483516,118.254845,76.929079,0,0
3940.02,69.284610,118.673353,16.483516,118.254892,76.926284,0,0
3941.02,69.259125,118.679106,16.483516,118.249367,76.931607,0,0
3942.02,69.273468,118.685007,16.483516,118.254271,76.929383,0,0
3943.02,69.285747,118.690623,16.483516,118.255864,76.925986,0,0
3944.02,69.271026,118.695870,16.483516,118.250851,76.928094,0,0
3945.02,69.258902,118.700815,16.483516,118.249482,76.931363,0,0
3946.02,69.269816,118.705749,16.483516,118.253854,76.930027,0,0
3947.02,69.286104,118.710915,16.483516,118.256848,76.926068,0,0
3948.02,69.258925,118.716518,16.483516,118.249698,76.931131,0,0
3949.02,69.266350,118.722441,16.483516,118.253398,76.930602,0,0
3950.02,69.285733,118.728182,16.483516,118.257538,76.926240,0,0
3951.02,69.275132,118.733561,16.483516,118.252816,76.927116,0,0
3952.02,69.259337,118.738583,16.483516,118.249917,76.930775,0,0
3953.02,69.263292,118.743495,16.483516,118.252904,76.931040,0,0
3954.02,69.284288,118.748567,16.483516,118.257867,76.926618,0,0
3955.02,69.260076,118.754010,16.483516,118.250307,76.930488,0,0
3956.02,69.260584,118.759890,16.483516,118.252566,76.931551,0,0
3957.02,69.281687,118.765739,16.483516,118.258025,76.927418,0,0
3958.02,69.278332,118.771248,16.483516,118.255037,76.926858,0,0
3959.02,69.261001,118.776386,16.483516,118.251039,76.930487,0,0
3960.02,69.258150,118.781311,16.483516,118.252539,76.932308,0,0
3961.02,69.278124,118.786317,16.483516,118.258187,76.928713,0,0
3962.02,69.279280,118.791624,16.483516,118.256517,76.927395,0,0
3963.02,69.256006,118.797402,16.393443,118.252833,76.933304,0,0
3964.02,69.274020,118.803330,16.393443,118.258418,76.930375,0,0
3965.02,69.281018,118.808976,16.393443,118.258461,76.928066,0,0
3966.02,69.264928,118.814252,16.393443,118.253838,76.931016,0,0
3967.02,69.255790,118.819228,16.393443,118.253697,76.934143,0,0
3968.02,69.270492,118.824196,16.393443,118.259006,76.932250,0,0
3969.02,69.282734,118.829399,16.393443,118.260963,76.929310,0,0
3970.02,69.255432,118.835041,16.393443,118.255541,76.935910,0,0
3971.02,69.265828,118.841007,16.393443,118.260458,76.935350,0,0
3972.02,69.282370,118.846795,16.393443,118.264260,76.932071,0,0
3973.02,69.269268,118.852222,16.393443,118.259952,76.934349,0,0
3974.02,69.254171,118.857295,16.393443,118.258332,76.938817,0,0
3975.02,69.260266,118.862261,16.393443,118.262585,76.939399,0,0
3976.02,69.279879,118.867390,16.393443,118.267723,76.935878,0,0
3977.02,69.252751,118.872891,16.393443,118.261390,76.942083,0,0
3978.02,69.254791,118.878829,16.393443,118.264758,76.943570,0,0
3979.02,69.275607,118.884737,16.393443,118.270620,76.940078,0,0
3980.02,69.269586,118.890306,16.393443,118.267607,76.940715,0,0
3981.02,69.251864,118.895505,16.393443,118.264375,76.945195,0,0
3982.02,69.250054,118.900490,16.393443,118.266749,76.947441,0,0
3983.02,69.270317,118.905557,16.393443,118.272858,76.944295,0,0
3984.02,69.269498,118.910924,16.393443,118.271138,76.943891,0,0
3985.02,69.246316,118.916760,16.393443,118.268634,76.950925,0,0
3986.02,69.264595,118.922745,16.393443,118.274626,76.948388,0,0
3987.02,69.269402,118.928447,16.393443,118.274480,76.946947,0,0
3988.02,69.252391,118.933777,16.393443,118.270189,76.950584,0,0
3989.02,69.243590,118.938805,16.393443,118.270517,76.954032,0,0
3990.02,69.258820,118.943822,16.393443,118.276106,76.952284,0,0
3991.02,69.269193,118.949071,16.393443,118.277650,76.949881,0,0
3992.02,69.241811,118.954753,16.393443,118.272437,76.956745,0,0
3993.02,69.253338,118.960752,16.393443,118.277398,76.955858,0,0
3994.02,69.268754,118.966569,16.393443,118.280560,76.952602,0,0
3995.02,69.255197,118.972020,16.393443,118.275956,76.954811,0,0
3996.02,69.241022,118.977112,16.393443,118.274280,76.958845,0,0
3997.02,69.248646,118.982090,16.393443,118.278418,76.958744,0,0
3998.02,69.267958,118.987226,16.393443,118.282888,76.954834,0,0
3999.02,69.241286,118.992727,16.393443,118.275878,76.960160,0,0
4000.02,69.245007,118.998659,16.393443,118.279119,76.960821,0,0
4001.02,69.266232,119.004556,16.393443,118.284449,76.956707,0,0
4002.02,69.259446,119.010110,16.393443,118.280779,76.957026,0,0
4003.02,69.242447,119.015288,16.393443,118.277403,76.960959,0,0
4004.02,69.242272,119.020250,16.393443,118.279729,76.962411,0,0
4005.02,69.263389,119.025290,16.393443,118.285498,76.958584,0,0
4006.02,69.261521,119.030627,16.393443,118.283092,76.957942,0,0
4007.02,69.240215,119.036430,16.483516,118.280535,76.963900,0,0
4008.02,69.259408,119.042379,16.483516,118.286324,76.960759,0,0
4009.02,69.261857,119.048045,16.483516,118.285258,76.959418,0,0
4010.02,69.244464,119.053336,16.483516,118.280863,76.962925,0,0
4011.02,69.237131,119.058322,16.483516,118.281334,76.965758,0,0
4012.02,69.253916,119.063297,16.483516,118.286801,76.963222,0,0
4013.02,69.261239,119.068500,16.483516,118.287033,76.960907,0,0
4014.02,69.235171,119.074133,16.483516,118.281575,76.966687,0,0
4015.02,69.249407,119.080081,16.483516,118.286382,76.964541,0,0
4016.02,69.261728,119.085845,16.483516,118.287830,76.961101,0,0
4017.02,69.247188,119.091240,16.483516,118.282609,76.963001,0,0
4018.02,69.235333,119.096273,16.483516,118.280956,76.965959,0,0
4019.02,69.246587,119.101190,16.483516,118.285009,76.964273,0,0
4020.02,69.263293,119.106263,16.483516,118.287680,76.959918,0,0
4021.02,69.237130,119.111698,16.483516,118.279831,76.963931,0,0
4022.02,69.245091,119.117561,16.483516,118.283165,76.962865,0,0
4023.02,69.265024,119.123388,16.483516,118.286966,76.957981,0,0
4024.02,69.254995,119.128872,16.483516,118.281926,76.958285,0,0
4025.02,69.239761,119.133976,16.483516,118.278702,76.961359,0,0
4026.02,69.244256,119.138862,16.483516,118.281380,76.961079,0,0
4027.02,69.265771,119.143826,16.483516,118.286067,76.956158,0,0
4028.02,69.258912,119.149086,16.483516,118.281770,76.955817,0,0
4029.02,69.243508,119.154810,16.483516,118.280048,76.959599,0,0
4030.02,69.265032,119.160683,16.483516,118.285310,76.955055,0,0
4031.02,69.262072,119.166274,16.483516,118.282149,76.954085,0,0
4032.02,69.245110,119.171491,16.483516,118.277982,76.957307,0,0
4033.02,69.242600,119.176404,16.483516,118.279320,76.958758,0,0
4034.02,69.262887,119.181309,16.483516,118.284830,76.954848,0,0
4035.02,69.264326,119.186447,16.483516,118.283040,76.953224,0,0
4036.02,69.241561,119.192018,16.483516,118.279125,76.958543,0,0
4037.02,69.259665,119.197912,16.483516,118.284577,76.955407,0,0
4038.02,69.265740,119.203630,16.483516,118.284272,76.953105,0,0
4039.02,69.249325,119.208985,16.483516,118.279523,76.955954,0,0
4040.02,69.240528,119.213982,16.483516,118.279311,76.958785,0,0
4041.02,69.255764,119.218873,16.483516,118.284457,76.956496,0,0
4042.02,69.266431,119.223927,16.483516,118.285662,76.953526,0,0
4043.02,69.239669,119.229349,16.483516,118.279739,76.959262,0,0
4044.02,69.251615,119.235206,16.483516,118.284382,76.957821,0,0
4045.02,69.266532,119.241038,16.483516,118.287015,76.954221,0,0
4046.02,69.252846,119.246530,16.483516,118.282085,76.956085,0,0
4047.02,69.239203,119.251646,16.483516,118.280227,76.959645,0,0
4048.02,69.247712,119.256548,16.483516,118.284202,76.958977,0,0
4049.02,69.266139,119.261533,16.483516,118.288049,76.954856,0,0
4050.02,69.254640,119.266815,16.483516,118.283262,76.956039,0,0
4051.02,69.244358,119.272562,16.483516,118.283877,76.959802,0,0
4052.02,69.264960,119.278462,16.483516,118.288643,76.955463,0,0
4053.02,69.256413,119.284082,16.483516,118.284367,76.955930,0,0
4054.02,69.239855,119.289325,16.483516,118.281071,76.959655,0,0
4055.02,69.241494,119.294264,16.483516,118.283591,76.960503,0,0
4056.02,69.262698,119.299198,16.483516,118.288948,76.956321,0,0
4057.02,69.257952,119.304362,16.483516,118.285611,76.956048,0,0
4058.02,69.238995,119.309958,16.483516,118.283549,76.961324,0,0
4059.02,69.259465,119.315876,16.483516,118.289188,76.957590,0,0
4060.02,69.259103,119.321621,16.483516,118.287092,76.956559,0,0
4061.02,69.241799,119.326999,16.483516,118.282844,76.960062,0,0
4062.02,69.236821,119.332017,16.483516,118.283818,76.962345,0,0
4063.02,69.255500,119.336929,16.483516,118.289444,76.959243,0,0
4064.02,69.259827,119.342005,16.483516,118.288761,76.957442,0,0
4065.02,69.235001,119.347446,16.483516,118.284344,76.963499,0,0
4066.02,69.251095,119.353322,16.483516,118.289706,76.961143,0,0
4067.02,69.260133,119.359173,16.483516,118.290504,76.958593,0,0
4068.02,69.244294,119.364685,16.483516,118.285732,76.961358,0,0
4069.02,69.233586,119.369818,16.483516,118.285051,76.964681,0,0
4070.02,69.246557,119.374739,16.483516,118.289952,76.963124,0,0
4071.02,69.260044,119.379744,16.483516,118.292204,76.959877,0,0
4072.02,69.245708,119.385045,16.483516,118.287343,76.962068,0,0
4073.02,69.242293,119.390808,16.483516,118.290081,76.964862,0,0
4074.02,69.259629,119.396725,16.483516,118.293614,76.961000,0,0
4075.02,69.247319,119.402361,16.483516,118.288811,76.962500,0,0
4076.02,69.232463,119.407618,16.483516,118.286471,76.966225,0,0
4077.02,69.238652,119.412569,16.483516,118.290010,76.966134,0,0
4078.02,69.258690,119.417515,16.483516,118.294560,76.961908,0,0
4079.02,69.249063,119.422689,16.483516,118.290120,76.962679,0,0
4080.02,69.235625,119.428291,16.483516,118.289880,76.967096,0,0
4081.02,69.256782,119.434215,16.483516,118.295122,76.962890,0,0
4082.02,69.250714,119.439965,16.483516,118.291485,76.962911,0,0
4083.02,69.233675,119.445346,16.483516,118.287864,76.966649,0,0
4084.02,69.233053,119.450364,16.483516,118.289921,76.968044,0,0
4085.02,69.253898,119.455279,16.483516,118.295541,76.964188,0,0
4086.02,69.252058,119.460355,16.483516,118.293058,76.963448,0,0
4087.02,69.230842,119.465794,16.393443,118.290257,76.969141,0,0
4088.02,69.250427,119.471667,16.393443,118.296006,76.965816,0,0
4089.02,69.254322,119.477518,16.393443,118.295143,76.964073,0,0
4090.02,69.237758,119.483028,16.393443,118.290744,76.967286,0,0
4091.02,69.230546,119.488161,16.393443,118.291189,76.970086,0,0
4092.02,69.247289,119.493084,16.393443,118.296814,76.967721,0,0
4093.02,69.256554,119.498095,16.393443,118.297856,76.965316,0,0
4094.02,69.240805,119.503404,16.393443,118.293427,76.968351,0,0
4095.02,69.242686,119.509180,16.393443,118.298522,76.971044,0,0
4096.02,69.256674,119.515115,16.393443,118.301517,76.968240,0,0
4097.02,69.242303,119.520773,16.393443,118.297239,76.970985,0,0
4098.02,69.228491,119.526056,16.393443,118.296198,76.975363,0,0
4099.02,69.236877,119.531037,16.393443,118.300966,76.975509,0,0
4100.02,69.254835,119.536018,16.393443,118.305517,76.972284,0,0
4101.02,69.242771,119.541230,16.393443,118.301441,76.974384,0,0
4102.02,69.231130,119.546872,16.393443,118.303395,76.980025,0,0
4103.02,69.251515,119.552838,16.393443,118.308926,76.976538,0,0
4104.02,69.243006,119.558632,16.393443,118.305379,76.977718,0,0
4105.02,69.225765,119.564058,16.393443,118.302557,76.982243,0,0
4106.02,69.226222,119.569123,16.393443,118.305469,76.984023,0,0
4107.02,69.247087,119.574086,16.393443,118.311466,76.980636,0,0
4108.02,69.243347,119.579210,16.393443,118.308963,76.980775,0,0
4109.02,69.222390,119.584697,16.393443,118.307314,76.987483,0,0
4110.02,69.242064,119.590617,16.393443,118.313390,76.984542,0,0
4111.02,69.243769,119.596514,16.393443,118.312325,76.983634,0,0
4112.02,69.226399,119.602069,16.393443,118.308251,76.987473,0,0
4113.02,69.219600,119.607244,16.483516,118.309135,76.990536,0,0
4114.02,69.236662,119.612207,16.483516,118.314944,76.988315,0,0
4115.02,69.242886,119.617255,16.483516,118.315269,76.986640,0,0
4116.02,69.225994,119.622594,16.483516,118.310810,76.990074,0,0
4117.02,69.230301,119.628393,16.483516,118.315972,76.991942,0,0
4118.02,69.241330,119.634344,16.483516,118.317568,76.989264,0,0
4119.02,69.226032,119.640011,16.483516,118.312719,76.991827,0,0
4120.02,69.214083,119.645294,16.483516,118.311504,76.995256,0,0
4121.02,69.225460,119.650267,16.483516,118.315919,76.993944,0,0
4122.02,69.241173,119.655232,16.483516,118.318608,76.990136,0,0
4123.02,69.228101,119.660418,16.483516,118.313469,76.991614,0,0
4124.02,69.222871,119.666024,16.483516,118.314706,76.993860,0,0
4125.02,69.242265,119.671945,16.483516,118.318399,76.989228,0,0
4126.02,69.231776,119.677687,16.483516,118.313334,76.989743,0,0
4127.02,69.216787,119.683052,16.483516,118.310213,76.992835,0,0
4128.02,69.221890,119.688049,16.483516,118.312974,76.992452,0,0
4129.02,69.243308,119.692938,16.483516,118.317521,76.987551,0,0
4130.02,69.235982,119.697982,16.483516,118.313062,76.987288,0,0
4131.02,69.221563,119.703381,16.483516,118.311438,76.990778,0,0
4132.02,69.243295,119.709211,16.483516,118.316592,76.986124,0,0
4133.02,69.239808,119.715016,16.483516,118.313207,76.985188,0,0
4134.02,69.223071,119.720475,16.483516,118.309069,76.988303,0,0
4135.02,69.221270,119.725552,16.483516,118.310482,76.989527,0,0
4136.02,69.241964,119.730418,16.483516,118.315945,76.985453,0,0
4137.02,69.242806,119.735367,16.483516,118.313913,76.983867,0,0
4138.02,69.225952,119.740608,16.483516,118.309447,76.986901,0,0
4139.02,69.239465,119.746313,16.483516,118.315597,76.985580,0,0
4140.02,69.244900,119.752176,16.483516,118.315049,76.983334,0,0
4141.02,69.228495,119.757759,16.483516,118.310335,76.986143,0,0
4142.02,69.220297,119.762962,16.483516,118.310240,76.988794,0,0
4143.02,69.236146,119.767863,16.483516,118.315443,76.986321,0,0
4144.02,69.246173,119.772764,16.483516,118.316412,76.983422,0,0
4145.02,69.230760,119.777893,16.483516,118.311545,76.985862,0,0
4146.02,69.232423,119.783449,16.483516,118.315382,76.987410,0,0
4147.02,69.246756,119.789332,16.483516,118.317805,76.983890,0,0
4148.02,69.232868,119.795044,16.483516,118.312889,76.985797,0,0
4149.02,69.219649,119.800384,16.483516,118.311163,76.989257,0,0
4150.02,69.228803,119.805363,16.483516,118.315251,76.988431,0,0
4151.02,69.246791,119.810241,16.483516,118.318927,76.984372,0,0
4152.02,69.234977,119.815278,16.483516,118.314116,76.985621,0,0
4153.02,69.225663,119.820674,16.483516,118.314965,76.989149,0,0
4154.02,69.246074,119.826507,16.483516,118.319612,76.984819,0,0
4155.02,69.237050,119.832320,16.483516,118.315239,76.985369,0,0
4156.02,69.220730,119.837789,16.483516,118.312044,76.989035,0,0
4157.02,69.222998,119.842875,16.483516,118.314679,76.989722,0,0
4158.02,69.244251,119.847755,16.483516,118.319967,76.985495,0,0
4159.02,69.238893,119.852719,16.483516,118.316468,76.985318,0,0
4160.02,69.221815,119.857974,16.483516,118.312722,76.988957,0,0
4161.02,69.241399,119.863694,16.483516,118.320225,76.986584,0,0
4162.02,69.240336,119.869576,16.483516,118.317925,76.985662,0,0
4163.02,69.223069,119.875177,16.483516,118.313743,76.989155,0,0
4164.02,69.218667,119.880396,16.483516,118.314843,76.991297,0,0
4165.02,69.237745,119.885315,16.483516,118.320491,76.988085,0,0
4166.02,69.241331,119.890235,16.483516,118.319580,76.986403,0,0
4167.02,69.224438,119.895379,16.483516,118.315064,76.989615,0,0
4168.02,69.233581,119.900951,16.483516,118.320760,76.989869,0,0
4169.02,69.241885,119.906853,16.483516,118.321322,76.987441,0,0
4170.02,69.225897,119.912583,16.483516,118.316583,76.990248,0,0
4171.02,69.215661,119.917941,16.483516,118.316031,76.993469,0,0
4172.02,69.229211,119.922937,16.483516,118.321015,76.991777,0,0
4173.02,69.242020,119.927835,16.483516,118.323039,76.988647,0,0
4174.02,69.227447,119.932890,16.483516,118.318192,76.990911,0,0
4175.02,69.225028,119.938303,16.483516,118.321166,76.993505,0,0
4176.02,69.241811,119.944153,16.483516,118.324505,76.989745,0,0
4177.02,69.229170,119.949984,16.483516,118.319685,76.991336,0,0
4178.02,69.214629,119.955467,16.483516,118.317464,76.995008,0,0
4179.02,69.221417,119.960567,16.483516,118.321113,76.994784,0,0
4180.02,69.241136,119.965460,16.483516,118.325515,76.990606,0,0
4181.02,69.231042,119.970435,16.483516,118.320991,76.991476,0,0
4182.02,69.215060,119.975698,16.483516,118.318042,76.995202,0,0
4183.02,69.239536,119.981425,16.483516,118.326097,76.991482,0,0
4184.02,69.232857,119.987313,16.483516,118.322302,76.991608,0,0
4185.02,69.215956,119.992918,16.483516,118.318755,76.995315,0,0
4186.02,69.215928,119.998138,16.483516,118.320918,76.996562,0,0
4187.02,69.236937,120.003059,16.483516,118.326487,76.992637,0,0
4188.02,69.234388,120.007980,16.483516,118.323794,76.992010,0,0
4189.02,69.217122,120.013122,16.483516,118.319772,76.995597,0,0
4190.02,69.233503,120.018692,16.483516,118.326851,76.994163,0,0
4191.02,69.235525,120.024593,16.483516,118.325494,76.992767,0,0
4192.02,69.218458,120.030321,16.483516,118.321103,76.996108,0,0
4193.02,69.211992,120.035674,16.483516,118.321677,76.998681,0,0
4194.02,69.229495,120.040668,16.483516,118.327217,76.995977,0,0
4195.02,69.236248,120.045564,16.483516,118.327312,76.993819,0,0
4196.02,69.219920,120.050617,16.483516,118.322658,76.996788,0,0
4197.02,69.225201,120.056027,16.483516,118.327568,76.997942,0,0
4198.02,69.236563,120.061878,16.483516,118.329139,76.995062,0,0
4199.02,69.221485,120.067710,16.483516,118.324339,76.997533,0,0
4200.02,69.209627,120.073194,16.483516,118.323244,77.000989,0,0
4201.02,69.220966,120.078295,16.483516,118.327852,76.999828,0,0
4202.02,69.236521,120.083192,16.483516,118.330802,76.996287,0,0
4203.02,69.223201,120.088171,16.483516,118.325978,76.998120,0,0
4204.02,69.209267,120.093435,16.483516,118.324044,77.001762,0,0
4205.02,69.236107,120.099164,16.483516,118.332057,76.997261,0,0
4206.02,69.225103,120.105055,16.483516,118.327416,76.998381,0,0
4207.02,69.209567,120.110659,16.483516,118.324713,77.002097,0,0
4208.02,69.214091,120.115878,16.483516,118.327886,77.002365,0,0
4209.02,69.234919,120.120799,16.483516,118.332838,76.998132,0,0
4210.02,69.227033,120.125718,16.483516,118.328777,76.998515,0,0
4211.02,69.210401,120.130856,16.483516,118.325432,77.002237,0,0
4212.02,69.232711,120.136420,16.483516,118.333341,76.999205,0,0
4213.02,69.228748,120.142318,16.483516,118.330272,76.998837,0,0
4214.02,69.211563,120.148039,16.483516,118.326414,77.002477,0,0
4215.02,69.209327,120.153384,16.483516,118.328078,77.004207,0,0
4216.02,69.229601,120.158372,16.483516,118.333778,77.000636,0,0
4217.02,69.230091,120.163262,16.483516,118.331981,76.999505,0,0
4218.02,69.212919,120.168306,16.483516,118.327719,77.002941,0,0
4219.02,69.225826,120.173707,16.483516,118.334214,77.002390,0,0
4220.02,69.231022,120.179553,16.483516,118.333840,77.000493,0,0
4221.02,69.214413,120.185378,16.483516,118.329278,77.003597,0,0
4222.02,69.206017,120.190854,16.483516,118.329311,77.006525,0,0
4223.02,69.221666,120.195950,16.483516,118.334637,77.004339,0,0
4224.02,69.231541,120.200843,16.483516,118.335738,77.001705,0,0
4225.02,69.216013,120.205818,16.483516,118.330992,77.004357,0,0
4226.02,69.204966,120.211079,16.483516,118.330191,77.007712,0,0
4227.02,69.231674,120.216807,16.483516,118.337548,77.002992,0,0
4228.02,69.217732,120.222698,16.483516,118.332734,77.005050,0,0
4229.02,69.204457,120.228302,16.483516,118.331087,77.008643,0,0
4230.02,69.213539,120.233520,16.483516,118.335248,77.007968,0,0
4231.02,69.231472,120.238442,16.483516,118.339011,77.004066,0,0
4232.02,69.219647,120.243361,16.483516,118.334291,77.005425,0,0
4233.02,69.204610,120.248496,16.483516,118.331841,77.009119,0,0
4234.02,69.230667,120.254058,16.483516,118.339986,77.004941,0,0
4235.02,69.221661,120.259954,16.483516,118.335696,77.005571,0,0
4236.02,69.205355,120.265671,16.483516,118.332560,77.009293,0,0
4237.02,69.207617,120.271010,16.483516,118.335246,77.010053,0,0
4238.02,69.228859,120.275993,16.483516,118.340595,77.005924,0,0
4239.02,69.223536,120.280877,16.483516,118.337171,77.005807,0,0
4240.02,69.206493,120.285913,16.483516,118.333480,77.009480,0,0
4241.02,69.226093,120.291305,16.483516,118.341077,77.007230,0,0
4242.02,69.225074,120.297143,16.483516,118.338845,77.006357,0,0
4243.02,69.207855,120.302959,16.483516,118.334716,77.009869,0,0
4244.02,69.203481,120.308425,16.483516,118.335854,77.012039,0,0
4245.02,69.222571,120.313512,16.483516,118.341545,77.008886,0,0
4246.02,69.226204,120.318398,16.483516,118.340696,77.007244,0,0
4247.02,69.209368,120.323363,16.483516,118.336230,77.010465,0,0
4248.02,69.201945,120.328613,16.483516,118.336544,77.013217,0,0
4249.02,69.226919,120.334334,16.483516,118.342618,77.008386,0,0
