Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,Glucose-BloodConcentration(mg/dL)
4158.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.87,7.44,0,75.62,0
4159.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.82,7.44,0,75.62,0
4160.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.7,542.82,7.44,0,75.62,0
4161.14,92.82,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.7,542.82,7.44,0,75.61,0
4162.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.82,7.44,0,75.61,0
4163.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.77,7.44,0,75.61,0
4164.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.7,542.77,7.44,0,75.61,0
4165.14,92.82,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.7,542.77,7.44,0,75.61,0
4166.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.77,7.44,0,75.61,0
4167.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.73,7.44,0,75.61,0
4168.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.73,7.44,0,75.61,0
4169.14,92.81,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.73,7.44,0,75.60,0
4170.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.73,7.44,0,75.60,0
4171.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.71,7.44,0,75.60,0
4172.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.71,7.44,0,75.60,0
4173.14,92.81,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.71,7.44,0,75.60,0
4174.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.71,7.44,0,75.60,0
4175.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.69,7.44,0,75.60,0
4176.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.69,7.44,0,75.60,0
4177.14,92.81,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.69,7.44,0,75.59,0
4178.14,92.79,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.69,7.44,0,75.59,0
4179.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.56,70.8,542.67,7.44,0,75.59,0
4180.14,92.78,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.67,7.44,0,75.59,0
4181.14,92.81,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.67,7.44,0,75.59,0
4182.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.67,7.44,0,75.59,0
4183.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.66,7.44,0,75.59,0
4184.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.66,7.44,0,75.59,0
4185.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.66,7.44,0,75.58,0
4186.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.66,7.44,0,75.58,0
4187.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4188.14,92.77,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4189.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4190.14,92.80,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4191.14,92.76,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4192.14,92.76,14.71,125.2,89.6,108.1,0.980,36.33,6.57,70.8,542.65,7.44,0,75.58,0
4193.14,92.80,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.65,7.44,0,75.58,0
4194.14,92.80,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.65,7.44,0,75.57,0
4195.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.65,7.44,0,75.57,0
4196.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4197.14,92.79,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4198.14,92.80,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4199.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4200.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4201.14,92.79,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4202.14,92.78,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4203.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.64,7.44,0,75.57,0
4204.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.63,7.44,0,75.56,0
4205.14,92.78,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.63,7.44,0,75.56,0
4206.14,92.78,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.63,7.44,0,75.56,0
4207.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.63,7.44,0,75.56,0
4208.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.56,0
4209.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.56,0
4210.14,92.78,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.56,0
4211.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.56,0
4212.14,92.75,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.56,0
4213.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.55,0
4214.14,92.78,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.55,0
4215.14,92.76,14.71,125.2,89.6,108.1,0.980,36.32,6.57,70.8,542.62,7.44,0,75.55,0
4216.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4217.14,92.76,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4218.14,92.78,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4219.14,92.76,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4220.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4221.14,92.76,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.55,0
4222.14,92.78,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.54,0
4223.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.61,7.44,0,75.54,0
4224.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.60,7.44,0,75.54,0
4225.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.60,7.44,0,75.54,0
4226.14,92.78,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.60,7.44,0,75.54,0
4227.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.60,7.44,0,75.54,0
4228.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.59,7.44,0,75.54,0
4229.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.59,7.44,0,75.54,0
4230.14,92.78,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.59,7.44,0,75.54,0
4231.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.59,7.44,0,75.54,0
4232.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.58,7.44,0,75.54,0
4233.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.58,7.44,0,75.53,0
4234.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.58,7.44,0,75.53,0
4235.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.58,7.44,0,75.53,0
4236.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.57,7.44,0,75.53,0
4237.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.57,7.44,0,75.53,0
4238.14,92.77,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.57,7.44,0,75.53,0
4239.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.57,7.44,0,75.53,0
4240.14,92.73,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.55,7.44,0,75.53,0
4241.14,92.74,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.55,7.44,0,75.53,0
4242.14,92.76,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.55,7.44,0,75.53,0
4243.14,92.75,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.55,7.44,0,75.52,0
4244.14,92.73,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.55,7.44,0,75.52,0
4245.14,92.74,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.54,7.44,0,75.52,0
4246.14,92.76,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.54,7.44,0,75.52,0
4247.14,92.75,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.54,7.44,0,75.52,0
4248.14,92.73,14.71,125.2,89.7,108.1,0.980,36.32,6.57,70.8,542.54,7.44,0,75.52,0
4249.14,92.73,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.52,7.44,0,75.52,0
4250.14,92.75,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.52,7.44,0,75.52,0
4251.14,92.75,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.52,7.44,0,75.51,0
4252.14,92.74,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.52,7.44,0,75.51,0
4253.14,92.73,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.51,7.44,0,75.51,0
4254.14,92.75,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.51,7.44,0,75.51,0
4255.14,92.76,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.51,7.44,0,75.51,0
4256.14,92.74,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.51,7.44,0,75.51,0
4257.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.49,7.44,0,75.50,0
4258.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.49,7.44,0,75.50,0
4259.14,92.76,14.71,125.3,89.7,108.1,0.980,36.32,6.57,70.8,542.49,7.44,0,75.50,0
4260.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.49,7.44,0,75.50,0
4261.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.47,7.44,0,75.49,0
4262.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.47,7.44,0,75.49,0
4263.14,92.76,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.47,7.44,0,75.49,0
4264.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.47,7.44,0,75.48,0
4265.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.45,7.44,0,75.48,0
4266.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.45,7.44,0,75.48,0
4267.14,92.75,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.45,7.44,0,75.47,0
4268.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.45,7.44,0,75.47,0
4269.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.42,7.44,0,75.47,0
4270.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.42,7.44,0,75.46,0
4271.14,92.75,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.42,7.44,0,75.46,0
4272.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.42,7.44,0,75.45,0
4273.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.40,7.44,0,75.45,0
4274.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.40,7.44,0,75.44,0
4275.14,92.75,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.40,7.44,0,75.44,0
4276.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.40,7.44,0,75.43,0
4277.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.37,7.44,0,75.42,0
4278.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.37,7.44,0,75.42,0
4279.14,92.75,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.37,7.44,0,75.41,0
4280.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.37,7.44,0,75.40,0
4281.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.34,7.44,0,75.40,0
4282.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.34,7.44,0,75.39,0
4283.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.34,7.44,0,75.38,0
4284.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.34,7.44,0,75.38,0
4285.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.31,7.44,0,75.37,0
4286.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.31,7.44,0,75.36,0
4287.14,92.74,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.31,7.44,0,75.36,0
4288.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.31,7.44,0,75.35,0
4289.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.28,7.44,0,75.34,0
4290.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.28,7.44,0,75.33,0
4291.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.28,7.44,0,75.32,0
4292.14,92.73,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.28,7.44,0,75.31,0
4293.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.28,7.44,0,75.31,0
4294.14,92.71,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.24,7.44,0,75.30,0
4295.14,92.72,14.71,125.3,89.7,108.2,0.980,36.32,6.57,70.8,542.24,7.44,0,75.29,0
4296.14,92.73,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.24,7.44,0,75.28,0
4297.14,92.71,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.24,7.44,0,75.27,0
4298.14,92.70,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.20,7.44,0,75.26,0
4299.14,92.72,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.20,7.44,0,75.24,0
4300.14,92.73,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.20,7.44,0,75.21,0
4301.14,92.69,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.20,7.44,0,75.18,0
4302.14,92.69,14.71,125.3,89.7,108.2,0.980,36.31,6.56,70.8,542.15,7.44,0,75.14,0
4303.14,92.73,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.15,7.44,0,75.10,0
4304.14,92.72,14.71,125.3,89.7,108.2,0.980,36.31,6.57,70.8,542.15,7.44,0,75.06,0
4305.14,92.69,14.71,125.3,89.7,108.2,0.980,36.31,6.56,70.8,542.15,7.44,0,75.01,0
4306.14,92.69,14.71,125.3,89.7,108.2,0.980,36.31,6.56,70.8,542.09,7.44,0,74.96,0
4307.14,92.72,14.71,125.3,89.8,108.2,0.980,36.31,6.57,70.8,542.09,7.44,0,74.91,0
4308.14,92.72,14.71,125.3,89.8,108.2,0.980,36.31,6.57,70.8,542.09,7.44,0,74.85,0
4309.14,92.69,14.71,125.3,89.7,108.2,0.980,36.31,6.56,70.8,542.09,7.44,0,74.80,0
4310.14,92.69,14.78,125.3,89.8,108.2,0.980,36.31,6.56,70.8,542.03,7.44,0,74.74,0
4311.14,92.71,14.78,125.3,89.8,108.2,0.980,36.31,6.57,70.8,542.03,7.43,0,74.68,0
4312.14,92.72,14.78,125.3,89.8,108.2,0.980,36.31,6.57,70.8,542.03,7.43,0,74.62,0
4313.14,92.69,14.78,125.3,89.8,108.2,0.980,36.31,6.56,70.8,542.03,7.43,0,74.56,0
4314.14,92.68,14.78,125.3,89.8,108.2,0.980,36.31,6.56,70.8,545.92,7.44,0,74.50,0
4315.14,92.71,14.78,125.3,89.8,108.2,0.980,36.31,6.57,70.8,545.92,7.43,0,74.44,0
4316.14,92.72,14.78,125.3,89.8,108.2,0.980,36.31,6.57,70.8,545.92,7.43,0,74.37,0
4317.14,92.68,14.78,125.3,89.8,108.2,0.980,36.31,6.56,70.8,545.92,7.43,0,74.31,0
4318.14,92.67,14.78,125.3,89.8,108.2,0.980,36.31,6.56,70.8,545.84,7.43,0,74.25,0
4319.14,92.70,14.78,125.4,89.8,108.2,0.980,36.31,6.56,70.8,545.84,7.43,0,74.19,0
4320.14,92.71,14.78,125.4,89.8,108.2,0.980,36.31,6.57,70.8,545.84,7.43,0,74.12,0
4321.14,92.68,14.78,125.4,89.8,108.2,0.980,36.31,6.56,70.8,545.84,7.43,0,74.06,0
4322.14,92.67,14.78,125.4,89.8,108.2,0.980,36.31,6.56,70.8,545.75,7.43,0,74.00,0
4323.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.75,7.43,0,73.93,0
4324.14,92.71,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.75,7.43,0,73.87,0
4325.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.75,7.43,0,73.82,0
4326.14,92.67,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.66,7.43,0,73.78,0
4327.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.66,7.43,0,73.74,0
4328.14,92.70,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.66,7.43,0,73.71,0
4329.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.66,7.43,0,73.68,0
4330.14,92.67,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.57,7.43,0,73.66,0
4331.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.57,7.43,0,73.64,0
4332.14,92.70,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.57,7.43,0,73.62,0
4333.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.57,7.43,0,73.61,0
4334.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.49,7.43,0,73.60,0
4335.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.49,7.43,0,73.59,0
4336.14,92.70,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.49,7.43,0,73.58,0
4337.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.49,7.43,0,73.58,0
4338.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.40,7.43,0,73.58,0
4339.14,92.67,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.40,7.43,0,73.58,0
4340.14,92.70,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.40,7.43,0,73.58,0
4341.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.40,7.43,0,73.58,0
4342.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.31,7.43,0,73.58,0
4343.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.31,7.43,0,73.59,0
4344.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.31,7.43,0,73.59,0
4345.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.31,7.43,0,73.60,0
4346.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.22,7.43,0,73.60,0
4347.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.22,7.43,0,73.61,0
4348.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.22,7.43,0,73.61,0
4349.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.22,7.43,0,73.62,0
4350.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.12,7.43,0,73.62,0
4351.14,92.66,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.12,7.43,0,73.63,0
4352.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.12,7.43,0,73.64,0
4353.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.12,7.43,0,73.64,0
4354.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.03,7.43,0,73.65,0
4355.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.03,7.43,0,73.66,0
4356.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.03,7.43,0,73.67,0
4357.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.03,7.43,0,73.68,0
4358.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,545.03,7.43,0,73.68,0
4359.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.94,7.43,0,73.69,0
4360.14,92.68,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.94,7.43,0,73.70,0
4361.14,92.69,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.94,7.43,0,73.71,0
4362.14,92.65,14.78,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.94,7.43,0,73.72,0
4363.14,92.65,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.85,7.43,0,73.73,0
4364.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.85,7.43,0,73.74,0
4365.14,92.69,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.85,7.43,0,73.75,0
4366.14,92.65,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,544.85,7.43,0,73.76,0
4367.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.76,7.43,0,73.77,0
4368.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.76,7.43,0,73.78,0
4369.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.76,7.43,0,73.79,0
4370.14,92.65,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.76,7.43,0,73.80,0
4371.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.69,7.43,0,73.81,0
4372.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.69,7.43,0,73.82,0
4373.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.69,7.43,0,73.83,0
4374.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.69,7.43,0,73.84,0
4375.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.62,7.44,0,73.85,0
4376.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.62,7.43,0,73.86,0
4377.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.62,7.43,0,73.87,0
4378.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.62,7.44,0,73.88,0
4379.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.59,7.44,0,73.89,0
4380.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.59,7.44,0,73.90,0
4381.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.59,7.44,0,73.91,0
4382.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.59,7.44,0,73.92,0
4383.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.57,7.44,0,73.93,0
4384.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.57,7.44,0,73.94,0
4385.14,92.69,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.57,7.44,0,73.95,0
4386.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.57,7.44,0,73.96,0
4387.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.58,7.44,0,73.97,0
4388.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.58,7.44,0,73.98,0
4389.14,92.69,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.58,7.44,0,74.00,0
4390.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.58,7.44,0,74.01,0
4391.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.60,7.44,0,74.02,0
4392.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.60,7.44,0,74.03,0
4393.14,92.69,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.60,7.44,0,74.04,0
4394.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.60,7.44,0,74.05,0
4395.14,92.66,14.85,125.4,89.8,108.3,0.980,36.31,6.56,70.8,548.65,7.44,0,74.06,0
4396.14,92.67,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.65,7.44,0,74.07,0
4397.14,92.69,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.65,7.44,0,74.08,0
4398.14,92.68,14.85,125.4,89.8,108.3,0.980,36.31,6.57,70.8,548.65,7.44,0,74.09,0
4399.14,92.66,14.85,125.4,89.8,108.3,0.980,36.30,6.57,70.9,548.71,7.44,0,74.10,0
